Date,Value,21_Month_MA
1883-09-01,5.53,5.820476190476191
1883-10-01,5.38,5.794761904761905
1883-11-01,5.46,5.779047619047619
1883-12-01,5.34,5.758095238095238
1884-01-01,5.18,5.729523809523809
1884-02-01,5.32,5.710952380952381
1884-03-01,5.3,5.692857142857143
1884-04-01,5.06,5.648095238095238
1884-05-01,4.65,5.575238095238095
1884-06-01,4.46,5.490476190476191
1884-07-01,4.46,5.413809523809523
1884-08-01,4.74,5.362857142857142
1884-09-01,4.59,5.303333333333334
1884-10-01,4.44,5.238095238095238
1884-11-01,4.35,5.174761904761905
1884-12-01,4.34,5.107619047619047
1885-01-01,4.24,5.03
1885-02-01,4.37,4.963333333333333
1885-03-01,4.38,4.894761904761905
1885-04-01,4.37,4.83
1885-05-01,4.32,4.7752380952380955
1885-06-01,4.3,4.716666666666667
1885-07-01,4.46,4.6728571428571435
1885-08-01,4.71,4.637142857142857
1885-09-01,4.65,4.604285714285715
1885-10-01,4.92,4.591904761904762
1885-11-01,5.24,4.588095238095239
1885-12-01,5.2,4.583333333333333
1886-01-01,5.2,4.590000000000001
1886-02-01,5.3,4.620952380952382
1886-03-01,5.19,4.655714285714287
1886-04-01,5.12,4.687142857142858
1886-05-01,5.02,4.7004761904761905
1886-06-01,5.25,4.7319047619047625
1886-07-01,5.33,4.774285714285715
1886-08-01,5.37,4.822857142857143
1886-09-01,5.51,4.878571428571429
1886-10-01,5.65,4.945714285714286
1886-11-01,5.79,5.013333333333334
1886-12-01,5.64,5.073333333333333
1887-01-01,5.58,5.130952380952381
1887-02-01,5.54,5.189047619047619
1887-03-01,5.67,5.2542857142857144
1887-04-01,5.8,5.318095238095237
1887-05-01,5.9,5.374761904761905
1887-06-01,5.73,5.426190476190476
1887-07-01,5.59,5.458095238095238
1887-08-01,5.45,5.468095238095238
1887-09-01,5.38,5.476666666666667
1887-10-01,5.2,5.476666666666667
1887-11-01,5.3,5.476666666666667
1887-12-01,5.27,5.480476190476191
1888-01-01,5.31,5.489523809523809
1888-02-01,5.28,5.501904761904761
1888-03-01,5.08,5.493809523809524
1888-04-01,5.1,5.482857142857143
1888-05-01,5.17,5.473333333333334
1888-06-01,5.01,5.449523809523809
1888-07-01,5.14,5.425238095238095
1888-08-01,5.25,5.399523809523809
1888-09-01,5.38,5.387142857142858
1888-10-01,5.35,5.376190476190477
1888-11-01,5.24,5.3619047619047615
1888-12-01,5.14,5.336666666666666
1889-01-01,5.24,5.3100000000000005
1889-02-01,5.3,5.281428571428571
1889-03-01,5.19,5.255714285714286
1889-04-01,5.18,5.236190476190477
1889-05-01,5.32,5.2299999999999995
1889-06-01,5.41,5.231428571428571
1889-07-01,5.3,5.236190476190477
1889-08-01,5.37,5.23952380952381
1889-09-01,5.5,5.25047619047619
1889-10-01,5.4,5.254761904761905
1889-11-01,5.35,5.258095238095239
1889-12-01,5.32,5.26952380952381
1890-01-01,5.38,5.282857142857143
1890-02-01,5.32,5.29
1890-03-01,5.28,5.3028571428571425
1890-04-01,5.39,5.314761904761904
1890-05-01,5.62,5.332380952380952
1890-06-01,5.58,5.341904761904762
1890-07-01,5.54,5.350952380952381
1890-08-01,5.41,5.35904761904762
1890-09-01,5.32,5.367619047619048
1890-10-01,5.08,5.36
1890-11-01,4.71,5.331904761904762
1890-12-01,4.6,5.303809523809524
1891-01-01,4.84,5.287619047619048
1891-02-01,4.9,5.267619047619048
1891-03-01,4.81,5.23904761904762
1891-04-01,4.97,5.223333333333334
1891-05-01,4.95,5.203333333333334
1891-06-01,4.85,5.172380952380952
1891-07-01,4.77,5.142380952380952
1891-08-01,4.93,5.1223809523809525
1891-09-01,5.33,5.122857142857143
1891-10-01,5.33,5.12047619047619
1891-11-01,5.25,5.117142857142857
1891-12-01,5.41,5.123333333333333
1892-01-01,5.51,5.129047619047619
1892-02-01,5.52,5.1242857142857146
1892-03-01,5.58,5.1242857142857146
1892-04-01,5.57,5.1257142857142854
1892-05-01,5.57,5.133333333333333
1892-06-01,5.54,5.143809523809524
1892-07-01,5.54,5.1657142857142855
1892-08-01,5.62,5.209047619047619
1892-09-01,5.48,5.2509523809523815
1892-10-01,5.59,5.286666666666666
1892-11-01,5.57,5.3185714285714285
1892-12-01,5.51,5.351904761904762
1893-01-01,5.61,5.382380952380952
1893-02-01,5.51,5.4090476190476195
1893-03-01,5.31,5.430952380952381
1893-04-01,5.31,5.456666666666667
1893-05-01,4.84,5.4523809523809526
1893-06-01,4.61,5.418095238095238
1893-07-01,4.18,5.363333333333333
1893-08-01,4.08,5.307619047619047
1893-09-01,4.37,5.258095238095239
1893-10-01,4.5,5.21
1893-11-01,4.57,5.164761904761905
1893-12-01,4.41,5.10904761904762
1894-01-01,4.32,5.0495238095238095
1894-02-01,4.38,4.992857142857143
1894-03-01,4.51,4.943809523809524
1894-04-01,4.57,4.897619047619048
1894-05-01,4.4,4.83952380952381
1894-06-01,4.34,4.785238095238095
1894-07-01,4.25,4.7214285714285715
1894-08-01,4.41,4.666190476190476
1894-09-01,4.48,4.6171428571428565
1894-10-01,4.34,4.556666666666667
1894-11-01,4.34,4.5009523809523815
1894-12-01,4.3,4.452857142857143
1895-01-01,4.25,4.402380952380953
1895-02-01,4.19,4.371428571428571
1895-03-01,4.19,4.351428571428571
1895-04-01,4.37,4.360476190476191
1895-05-01,4.61,4.385714285714286
1895-06-01,4.7,4.401428571428572
1895-07-01,4.72,4.411904761904762
1895-08-01,4.79,4.422380952380952
1895-09-01,4.82,4.441904761904762
1895-10-01,4.75,4.462380952380952
1895-11-01,4.59,4.472380952380952
1895-12-01,4.32,4.463333333333334
1896-01-01,4.27,4.449047619047619
1896-02-01,4.45,4.451428571428572
1896-03-01,4.38,4.453333333333333
1896-04-01,4.42,4.461428571428572
1896-05-01,4.4,4.4609523809523814
1896-06-01,4.32,4.453333333333333
1896-07-01,4.04,4.439047619047619
1896-08-01,3.81,4.413809523809523
1896-09-01,4.01,4.4
1896-10-01,4.1,4.392857142857143
1896-11-01,4.38,4.4019047619047615
1896-12-01,4.22,4.403333333333333
1897-01-01,4.22,4.396190476190476
1897-02-01,4.18,4.3757142857142854
1897-03-01,4.19,4.351428571428571
1897-04-01,4.06,4.32
1897-05-01,4.08,4.286190476190477
1897-06-01,4.27,4.26
1897-07-01,4.46,4.246190476190476
1897-08-01,4.75,4.253809523809524
1897-09-01,4.98,4.285238095238095
1897-10-01,4.82,4.311428571428571
1897-11-01,4.65,4.320952380952382
1897-12-01,4.75,4.338571428571429
1898-01-01,4.88,4.360476190476191
1898-02-01,4.87,4.382857142857143
1898-03-01,4.65,4.398571428571429
1898-04-01,4.57,4.423809523809524
1898-05-01,4.87,4.474285714285714
1898-06-01,5.06,4.524285714285714
1898-07-01,5.08,4.570952380952381
1898-08-01,5.27,4.613333333333333
1898-09-01,5.26,4.662857142857143
1898-10-01,5.15,4.707142857142857
1898-11-01,5.32,4.761428571428572
1898-12-01,5.65,4.830952380952381
1899-01-01,6.08,4.927142857142857
1899-02-01,6.31,5.033333333333333
1899-03-01,6.4,5.134761904761905
1899-04-01,6.48,5.230952380952381
1899-05-01,6.21,5.300476190476191
1899-06-01,6.07,5.352380952380953
1899-07-01,6.28,5.421904761904762
1899-08-01,6.44,5.507142857142857
1899-09-01,6.37,5.5842857142857145
1899-10-01,6.34,5.653809523809524
1899-11-01,6.46,5.72952380952381
