Date,Value,21_Month_MA
1899-02-01,6.31,5.033333333333333
1899-03-01,6.4,5.134761904761905
1899-04-01,6.48,5.230952380952381
1899-05-01,6.21,5.300476190476191
1899-06-01,6.07,5.352380952380953
1899-07-01,6.28,5.421904761904762
1899-08-01,6.44,5.507142857142857
1899-09-01,6.37,5.5842857142857145
1899-10-01,6.34,5.653809523809524
1899-11-01,6.46,5.72952380952381
1899-12-01,6.02,5.794761904761905
1900-01-01,6.1,5.867619047619048
1900-02-01,6.21,5.9314285714285715
1900-03-01,6.26,5.988571428571428
1900-04-01,6.34,6.048571428571429
1900-05-01,6.04,6.085238095238095
1900-06-01,5.86,6.1138095238095245
1900-07-01,5.86,6.147619047619047
1900-08-01,5.94,6.177142857142857
1900-09-01,5.8,6.184285714285714
1900-10-01,6.01,6.180952380952381
1900-11-01,6.48,6.189047619047619
1900-12-01,6.87,6.211428571428572
1901-01-01,7.07,6.23952380952381
1901-02-01,7.25,6.2890476190476186
1901-03-01,7.51,6.357619047619047
1901-04-01,8.14,6.446190476190476
1901-05-01,7.73,6.507619047619047
1901-06-01,8.5,6.609047619047619
1901-07-01,7.93,6.6847619047619045
1901-08-01,8.04,6.759999999999999
1901-09-01,8.0,6.854285714285714
1901-10-01,7.91,6.940476190476191
1901-11-01,8.08,7.02952380952381
1901-12-01,7.95,7.11
1902-01-01,8.12,7.194761904761905
1902-02-01,8.19,7.297142857142856
1902-03-01,8.2,7.408571428571429
1902-04-01,8.48,7.533333333333333
1902-05-01,8.46,7.653333333333333
1902-06-01,8.41,7.777619047619048
1902-07-01,8.6,7.90095238095238
1902-08-01,8.83,8.012857142857143
1902-09-01,8.85,8.107142857142858
1902-10-01,8.57,8.178571428571429
1902-11-01,8.24,8.225714285714286
1902-12-01,8.05,8.251428571428571
1903-01-01,8.46,8.266666666666666
1903-02-01,8.41,8.299047619047618
1903-03-01,8.08,8.27904761904762
1903-04-01,7.75,8.270476190476192
1903-05-01,7.6,8.24952380952381
1903-06-01,7.18,8.210476190476191
1903-07-01,6.85,8.16
1903-08-01,6.63,8.09095238095238
1903-09-01,6.47,8.020476190476192
1903-10-01,6.26,7.931904761904762
1903-11-01,6.28,7.8409523809523805
1903-12-01,6.57,7.763333333333334
1904-01-01,6.68,7.677619047619047
1904-02-01,6.5,7.584285714285714
1904-03-01,6.48,7.492380952380953
1904-04-01,6.64,7.399047619047619
1904-05-01,6.5,7.288095238095237
1904-06-01,6.51,7.176666666666666
1904-07-01,6.78,7.091428571428571
1904-08-01,7.01,7.032857142857143
1904-09-01,7.32,6.998095238095239
1904-10-01,7.75,6.964285714285714
1904-11-01,8.17,6.952857142857143
1904-12-01,8.25,6.9609523809523814
1905-01-01,8.43,6.993333333333332
1905-02-01,8.8,7.050476190476191
1905-03-01,9.05,7.13952380952381
1905-04-01,8.94,7.23904761904762
1905-05-01,8.5,7.328095238095239
1905-06-01,8.6,7.42952380952381
1905-07-01,8.87,7.553809523809525
1905-08-01,9.2,7.692857142857143
1905-09-01,9.23,7.819523809523808
1905-10-01,9.36,7.9471428571428575
1905-11-01,9.31,8.080952380952382
1905-12-01,9.54,8.226666666666667
1906-01-01,9.87,8.380476190476191
1906-02-01,9.8,8.537619047619048
1906-03-01,9.56,8.682857142857141
1906-04-01,9.43,8.80904761904762
1906-05-01,9.18,8.912380952380952
1906-06-01,9.3,9.006666666666666
1906-07-01,9.06,9.069047619047618
1906-08-01,9.73,9.143333333333333
1906-09-01,10.03,9.228095238095237
1906-10-01,9.73,9.290000000000001
1906-11-01,9.93,9.343809523809524
1906-12-01,9.84,9.381428571428572
1907-01-01,9.56,9.41095238095238
1907-02-01,9.26,9.447142857142856
1907-03-01,8.35,9.435238095238095
1907-04-01,8.39,9.412380952380952
1907-05-01,8.1,9.36
1907-06-01,7.84,9.293809523809525
1907-07-01,8.14,9.235714285714286
1907-08-01,7.53,9.150952380952381
1907-09-01,7.45,9.051428571428572
1907-10-01,6.64,8.897619047619047
1907-11-01,6.25,8.72857142857143
1907-12-01,6.57,8.586190476190476
1908-01-01,6.85,8.463333333333335
1908-02-01,6.6,8.34047619047619
1908-03-01,6.87,8.224761904761905
1908-04-01,7.24,8.138095238095238
1908-05-01,7.63,8.038095238095238
1908-06-01,7.64,7.924285714285714
1908-07-01,7.92,7.838095238095238
1908-08-01,8.26,7.758571428571429
1908-09-01,8.17,7.679047619047618
1908-10-01,8.27,7.617619047619048
1908-11-01,8.83,7.597142857142857
1908-12-01,9.03,7.62952380952381
1909-01-01,9.06,7.661428571428571
1909-02-01,8.8,7.694761904761905
1909-03-01,8.92,7.746190476190476
1909-04-01,9.32,7.802380952380952
1909-05-01,9.63,7.902380952380954
1909-06-01,9.8,8.014285714285714
1909-07-01,9.94,8.17142857142857
1909-08-01,10.18,8.358571428571429
1909-09-01,10.19,8.530952380952382
1909-10-01,10.23,8.69190476190476
1909-11-01,10.18,8.862380952380951
1909-12-01,10.3,9.025714285714285
1910-01-01,10.08,9.16095238095238
1910-02-01,9.72,9.260476190476192
1910-03-01,9.96,9.37095238095238
1910-04-01,9.72,9.456666666666667
1910-05-01,9.56,9.518571428571429
1910-06-01,9.1,9.562857142857142
1910-07-01,8.64,9.58047619047619
1910-08-01,8.85,9.581428571428571
1910-09-01,8.91,9.575714285714286
1910-10-01,9.32,9.588095238095239
1910-11-01,9.31,9.612380952380951
1910-12-01,9.05,9.618571428571428
1911-01-01,9.27,9.616190476190477
1911-02-01,9.43,9.606666666666666
1911-03-01,9.32,9.583809523809524
1911-04-01,9.28,9.552380952380954
1911-05-01,9.48,9.519047619047619
1911-06-01,9.67,9.494285714285715
1911-07-01,9.63,9.465714285714286
1911-08-01,9.17,9.417619047619048
1911-09-01,8.67,9.34
1911-10-01,8.72,9.275238095238096
1911-11-01,9.07,9.244285714285715
1911-12-01,9.11,9.203809523809523
1912-01-01,9.12,9.175238095238095
1912-02-01,9.04,9.15047619047619
1912-03-01,9.3,9.16
1912-04-01,9.59,9.205238095238096
1912-05-01,9.58,9.24
1912-06-01,9.58,9.271904761904763
1912-07-01,9.59,9.284761904761904
1912-08-01,9.81,9.30857142857143
1912-09-01,9.86,9.347142857142856
1912-10-01,9.84,9.374285714285714
1912-11-01,9.73,9.38857142857143
1912-12-01,9.38,9.391428571428571
1913-01-01,9.3,9.392380952380952
1913-02-01,8.97,9.368095238095238
1913-03-01,8.8,9.326666666666668
1913-04-01,8.79,9.286666666666665
1913-05-01,8.55,9.257142857142858
1913-06-01,8.12,9.230952380952383
1913-07-01,8.23,9.207619047619048
1913-08-01,8.45,9.178095238095239
1913-09-01,8.53,9.15047619047619
1913-10-01,8.26,9.109523809523811
1913-11-01,8.05,9.062380952380952
1913-12-01,8.04,9.002380952380953
1914-01-01,8.37,8.944285714285714
1914-02-01,8.48,8.891904761904764
1914-03-01,8.32,8.831904761904761
1914-04-01,8.12,8.761904761904763
1914-05-01,8.17,8.683809523809524
1914-06-01,8.13,8.60142857142857
1914-07-01,7.68,8.498571428571429
